date,grade,probability_of_default,score,trend,reason_code,reason_description,fullname,phonenumber,idnumber,idNumberType,dateOfBirth
2021-02-24T06:49:41+00:00,XX,100,999,NoChange,XDAT,Not enough data on borrower contracts to calculate the score,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2021-02-24T06:49:41+00:00,XX,100,999,NoChange,MSM5,3 or more instalments overdue more than 1 year ago,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2021-02-24T06:49:41+00:00,XX,100,999,NoChange,NQS2,3 or more subscribers inquired the report on this person,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2021-01-30T21:00:00+00:00,XX,100.00,999,NoChange,XDAT,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2021-01-30T21:00:00+00:00,XX,100.00,999,NoChange,MSM5,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2021-01-30T21:00:00+00:00,XX,100.00,999,NoChange,NQS2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-12-30T21:00:00+00:00,XX,100.00,999,NoChange,XDAT,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-12-30T21:00:00+00:00,XX,100.00,999,NoChange,MSM5,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-12-30T21:00:00+00:00,XX,100.00,999,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-12-30T21:00:00+00:00,XX,100.00,999,NoChange,NQS2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-11-29T21:00:00+00:00,XX,100.00,999,NoChange,XDAT,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-11-29T21:00:00+00:00,XX,100.00,999,NoChange,MSM5,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-11-29T21:00:00+00:00,XX,100.00,999,NoChange,AGE2,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-11-29T21:00:00+00:00,XX,100.00,999,NoChange,NQS3,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
2020-10-30T21:00:00+00:00,XX,100.00,999,Up,XDAT,,Ally Hassan Mwinyi,0789372179,12345678,VotersID,1996-01-10T21:00:00Z
